"","x","y"
"1192",8437,15154
"1193",15502,12827
"1194",9199,20521
"1195",11470,19793
"1196",7422,8773
"1197",11711,7464
"1198",16262,16163
"1199",7425,12254
"1200",17271,15292
"1201",8943,16314
"1202",13736,14134
"1203",19789,9197
"1204",19545,18626
"1205",11460,8479
"1206",7683,18201
"1207",16004,10216
"1208",17019,16017
"1209",10959,12831
"1210",16264,17903
"1211",16506,7024
"1212",16007,13117
"1213",15751,8911
"1214",7934,16896
"1215",12983,18051
"1216",8683,8337
"1217",14750,19065
"1218",17269,13261
"1219",13234,17326
"1220",14742,9492
"1221",14496,16599
"1222",14244,17905
"1223",10965,19214
"1224",15254,17904
"1225",21053,11372
"1226",8685,9787
"1227",9448,17184
"1228",14242,15294
"1229",17526,18047
"1230",15755,13552
"1231",9192,13268
"1232",9190,10077
"1233",6417,14286
"1234",11463,11670
"1235",7677,12109
"1236",9195,16459
"1237",11722,19938
"1238",19039,17176
"1239",14487,6736
"1240",18534,16306
"1241",17264,7749
"1242",8433,10513
"1243",12726,13845
"1244",16267,21095
"1245",13482,11669
"1246",15246,9201
"1247",16511,11956
"1248",20295,10067
"1249",7174,13850
"1250",5911,13416
"1251",13488,18631
"1252",14489,8767
"1253",14997,13118
"1254",19036,13404
"1255",8939,12543
"1256",16261,14712
"1257",6161,10080
"1258",9197,18780
"1259",13234,16746
"1260",8179,9207
"1261",9446,14863
"1262",16514,15727
"1263",16263,17323
"1264",13992,17760
"1265",14746,14423
"1266",17270,14711
"1267",18788,18771
"1268",11711,7754
"1269",11714,10945
"1270",19287,11518
"1271",13740,18486
"1272",6922,13995
"1273",18779,8037
"1274",10461,20955
"1275",14997,12538
"1276",10703,8625
"1277",6923,15736
"1278",12984,20082
"1279",12469,8188
"1280",9946,9641
"1281",8178,8337
"1282",11964,8479
"1283",8184,15010
"1284",11211,12686
"1285",8188,19071
"1286",6920,12255
"1287",14492,12828
"1288",9192,12398
"1289",18028,15436
"1290",13982,6446
"1291",19544,16595
"1292",8436,14284
"1293",11468,17763
"1294",11963,7318
"1295",20804,14708
"1296",18527,9343
"1297",7171,10949
"1298",20047,15144
"1299",19036,13984
"1300",12222,13846
"1301",17517,8184
"1302",10956,10220
"1303",20298,13838
"1304",16765,13551
"1305",12983,18342
"1306",13482,11959
"1307",7426,13995
"1308",12725,11814
"1309",14245,18485
"1310",18781,10358
"1311",6924,17187
"1312",10200,11236
"1313",6414,11095
"1314",14241,14424
"1315",19542,15144
"1316",7430,18347
"1317",14496,16890
"1318",9447,15154
"1319",12223,15006
"1320",15502,13117
"1321",10703,9495
"1322",14751,19645
"1323",9952,16313
"1324",8687,12978
"1325",11214,15587
"1326",8431,8772
"1327",14744,11812
"1328",14244,17615
"1329",13226,8333
"1330",20047,15434
"1331",16763,12391
"1332",11463,11961
"1333",17264,8039
"1334",5912,13706
"1335",13238,21387
"1336",12217,8333
"1337",6924,16896
"1338",13735,12684
"1339",13224,6012
"1340",20300,15869
"1341",16766,15292
"1342",17780,19643
"1343",17269,12971
"1344",11217,19649
"1345",10704,9785
"1346",9444,12833
"1347",10453,11381
"1348",16002,8185
"1349",20301,16449
"1350",13237,20517
"1351",10462,21245
"1352",10712,19069
"1353",18533,16016
"1354",15253,16744
"1355",10449,7320
"1356",20548,10792
"1357",10707,13267
"1358",17017,13406
"1359",13229,10944
"1360",14741,9202
"1361",12220,11525
"1362",11214,15877
"1363",15000,16309
"1364",16766,15582
"1365",19790,9487
"1366",6666,10949
"1367",5910,11966
"1368",17021,18048
"1369",7174,13560
"1370",16519,20659
"1371",16012,18629
"1372",19031,8472
"1373",20801,12097
"1374",10963,17183
"1375",7423,9933
"1376",10451,9641
"1377",13743,21677
"1378",17517,8474
"1379",12470,9059
"1380",20043,11082
"1381",6413,9934
"1382",10459,18054
"1383",19537,9632
"1384",6670,15011
"1385",20552,14853
"1386",8179,8917
"1387",15749,7170
"1388",7424,11384
"1389",19289,14419
"1390",16005,11376
